# Output of queries/graspable_objects.rq over the materialized model
# Data: ontology/group-ontology.ttl + imports/course-affordance.ttl + inferred-results.ttl
# Engine: rdflib SPARQL; inference: RDFLib graspability materialization.

obj           | label     | role
--------------+-----------+----------------------
g13:block01   | toy_block | cap:CollectableObject
g13:block02   | toy_block | cap:CollectableObject
g13:block03   | toy_block | cap:CollectableObject
g13:blueCup01 | blue_cup  | cap:TargetObject
g13:bowl01    | bowl      | cap:TargetObject
g13:cloth01   | cloth     | g13:CleanupTool
g13:fork01    | fork      | cap:TargetObject
g13:knife01   | knife     | cap:TargetObject
g13:pinkCup01 | pink_cup  | cap:TargetObject
g13:spoon01   | spoon     | cap:TargetObject

# 10 graspable objects retrieved.
